# 915 nm PL_38 Chip Heater Calibration Heater 10
# Chip Num PL 38 Down Structure
# Heater No = 10
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 2
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2024-11-29 16:35:24
#Current  diode_1  diode_2  diode_3  diode_4 
       0     4.84    18.74    35.10     5.83 
      10     4.88    18.81    35.77     6.13 
      20     4.85    18.86    35.60     6.15 
      30     4.81    18.92    35.78     6.13 
      40     4.78    19.01    35.82     6.12 
      50     4.72    19.10    35.79     6.08 
      60     4.67    19.15    35.82     6.01 
      70     4.61    19.33    35.84     5.94 
      80     4.55    19.45    35.96     5.87 
      90     4.47    19.51    35.90     5.80 
     100     4.38    19.71    35.82     5.70 
     110     4.32    19.91    35.83     5.66 
     120     4.23    20.23    36.13     5.58 
     130     4.12    20.41    35.99     5.51 
     140     4.02    20.57    35.97     5.42 
     150     3.92    20.80    35.89     5.35 
     160     3.82    21.14    35.93     5.29 
     170     3.71    21.39    35.97     5.21 
     180     3.60    21.72    35.94     5.14 
     190     3.49    21.95    35.88     5.10 
     200     3.40    22.27    35.58     5.05 
     210     3.28    22.49    35.66     5.03 
     220     3.18    22.83    35.50     5.01 
     230     3.09    23.20    35.19     4.99 
     240     3.00    23.52    34.90     4.98 
     250     2.91    23.79    34.75     4.99 
     260     2.85    23.96    34.41     5.04 
     270     2.78    24.33    34.01     5.10 
     280     2.73    24.65    33.60     5.22 
     290     2.69    24.86    33.19     5.39 
     300     2.66    25.18    32.65     5.54 
     310     2.65    25.39    32.23     5.75 
     320     2.63    25.26    30.71     5.68 
     330     2.62    25.31    29.65     5.87 
     340     2.65    25.47    28.86     6.18 
     350     2.69    25.52    28.29     6.58 
     360     2.77    25.54    27.40     6.99 
     370     2.85    25.66    26.62     7.45 
     380     2.95    25.57    25.74     7.99 
     390     3.08    25.50    24.79     8.52 
     400     3.22    25.39    23.78     9.19 
     410     3.40    25.24    22.80    10.00 
     420     3.55    25.11    21.88    10.78 
     430     3.75    24.82    20.75    11.60 
     440     3.97    24.49    19.57    12.57 
     450     4.20    24.22    18.45    13.47 
     460     4.44    23.85    17.39    14.70 
     470     4.70    23.36    16.27    15.96 
     480     4.96    22.80    15.12    17.15 
     490     5.23    22.18    13.96    18.49 
     500     5.49    21.47    12.79    19.88 
     510     5.77    20.73    11.66    21.39 
     520     6.01    19.81    10.53    22.93 
     530     6.25    18.93     9.37    24.49 
     540     6.46    17.86     8.53    26.42 
     550     6.64    17.00     7.49    27.73 
     560     6.80    15.94     6.52    29.29 
     570     6.92    14.86     5.64    30.75 
     580     7.02    13.72     4.88    32.10 
     590     7.05    12.72     4.19    33.66 
     600     7.05    11.72     3.62    35.12 
     610     7.01    10.67     3.14    36.52 
     620     6.90     9.71     2.81    39.92 
     630     6.83     8.88     2.52    41.40 
     640     6.61     8.09     2.35    41.84 
     650     6.42     7.45     2.30    43.40 
     660     6.14     6.90     2.34    44.24 
     670     5.84     6.45     2.50    44.63 
     680     5.51     6.17     2.74    44.89 
     690     5.19     6.07     3.02    44.99 
     700     4.84     6.13     3.41    45.12 
     710     4.53     6.38     3.80    44.87 
     720     4.22     6.86     4.30    44.67 
     730     3.94     7.49     4.77    43.91 
