# 915 nm PL_38 Chip Heater Calibration Heater 11
# Chip Num PL 38 Down Structure
# Heater No = 11
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 1
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2024-11-29 16:20:59
#Current  diode_1  diode_2  diode_3  diode_4 
       0    32.00     6.04    11.84    11.94 
      10    31.98     6.01    11.89    11.99 
      20    31.96     6.01    11.84    11.88 
      30    32.01     5.98    11.88    11.85 
      40    31.92     5.87    11.94    12.06 
      50    32.06     5.81    11.92    11.96 
      60    32.28     5.73    11.97    11.86 
      70    32.47     5.65    11.95    11.78 
      80    32.57     5.57    12.00    11.64 
      90    32.71     5.44    11.99    11.53 
     100    33.02     5.29    12.05    11.37 
     110    33.31     5.16    12.03    11.20 
     120    33.54     5.01    12.05    11.04 
     130    33.74     4.85    12.13    10.80 
     140    34.14     4.67    12.13    10.59 
     150    34.54     4.48    12.14    10.38 
     160    34.88     4.29    12.16    10.14 
     170    35.16     4.08    12.20     9.87 
     180    35.56     3.87    12.25     9.61 
     190    35.97     3.65    12.24     9.34 
     200    36.53     3.44    12.24     9.01 
     210    36.91     3.21    12.23     8.65 
     220    37.47     2.97    12.27     8.41 
     230    37.84     2.74    12.30     8.12 
     240    38.29     2.49    12.30     7.81 
     250    38.80     2.26    12.32     7.46 
     260    39.36     2.01    12.28     7.12 
     270    39.93     1.79    12.25     6.77 
     280    40.46     1.55    12.23     6.42 
     290    40.93     1.36    12.17     6.12 
     300    41.52     1.15    12.18     5.79 
     310    42.09     0.96    12.12     5.40 
     320    42.58     0.79    12.03     5.06 
     330    42.94     0.65    11.97     4.72 
     340    43.36     0.54    11.85     4.41 
     350    43.89     0.45    11.77     4.09 
     360    44.36     0.39    11.69     3.79 
     370    44.75     0.37    11.57     3.53 
     380    45.13     0.39    11.47     3.26 
     390    45.40     0.46    11.31     2.99 
     400    45.68     0.58    11.20     2.77 
     410    45.79     0.74    11.02     2.56 
     420    45.86     0.98    10.87     2.35 
     430    46.07     1.27    10.65     2.15 
     440    46.01     1.64    10.45     1.98 
     450    46.00     2.04    10.21     1.83 
     460    45.80     2.57     9.97     1.70 
     470    45.70     3.14     9.72     1.59 
     480    45.27     3.81     9.49     1.54 
     490    44.92     4.53     9.17     1.48 
     500    44.32     5.30     8.92     1.45 
     510    43.78     6.32     8.70     1.45 
     520    43.08     7.33     8.46     1.47 
     530    42.29     8.34     8.30     1.52 
     540    41.38     9.54     8.17     1.61 
     550    40.30    10.74     7.98     1.68 
     560    39.08    11.97     7.82     1.80 
     570    38.03    13.26     7.74     1.93 
     580    36.45    14.80     7.63     2.03 
     590    35.04    16.40     7.61     2.18 
     600    33.48    18.04     7.68     2.33 
     610    31.83    19.54     7.86     2.50 
     620    30.13    21.13     8.05     2.67 
     630    28.67    22.43     8.26     2.85 
     640    26.62    24.27     8.64     2.99 
     650    24.82    25.81     9.12     3.14 
     660    23.02    27.45     9.96     3.38 
     670    21.14    29.07    10.64     3.53 
     680    19.28    30.35    11.42     3.62 
     690    17.41    31.58    12.41     3.75 
     700    15.68    32.47    13.52     3.86 
     710    13.81    33.21    14.37     3.79 
     720    12.03    33.88    15.55     3.77 
     730    10.38    34.36    16.89     3.78 
     740     8.86    34.87    18.50     3.78 
     750     7.78    34.84    20.25     3.84 
     760     6.39    34.81    22.22     3.80 
     770     5.20    34.33    24.11     3.75 
     780     4.20    33.77    26.86     3.88 
     790     3.29    33.06    29.18     3.89 
     800     2.53    31.83    31.32     3.90 
     810     1.95    30.34    33.27     3.80 
     820     1.57    28.57    35.04     3.74 
     830     1.26    26.69    37.04     3.80 
     840     1.08    24.61    39.16     3.90 
     850     1.02    22.50    41.21     4.06 
     860     1.07    20.26    43.15     4.26 
     870     1.22    18.04    45.33     4.60 
     880     1.45    15.65    47.26     4.99 
     890     1.74    13.37    48.57     5.44 
     900     2.06    11.19    49.76     5.91 
     910     2.42     9.06    50.58     6.56 
     920     2.78     7.27    51.09     7.22 
     930     3.12     5.65    51.40     7.90 
     940     3.44     4.28    51.63     8.67 
     950     3.67     3.18    51.13     9.67 
     960     3.88     2.48    50.87    10.52 
     970     4.01     2.11    49.82    11.33 
     980     4.06     2.13    49.42    12.76 
     990     4.03     2.54    47.98    13.71 
    1000     3.88     3.39    46.14    14.71 
    1010     3.69     4.56    43.99    15.53 
    1020     3.48     6.04    41.77    16.17 
    1030     3.19     7.93    39.02    16.53 
    1040     2.94    10.05    36.46    16.90 
    1050     2.74    12.17    34.38    17.36 
    1060     2.54    14.66    31.74    17.15 
    1070     2.43    17.17    29.38    16.91 
    1080     2.43    19.78    26.98    16.43 
    1090     2.57    22.26    24.90    15.77 
    1100     2.89    24.34    23.10    14.80 
    1110     3.36    26.10    21.79    13.69 
    1120     4.06    27.65    20.58    12.37 
    1130     4.98    28.68    19.75    10.90 
    1140     6.13    29.25    19.37     9.39 
    1150     7.43    29.18    19.45     7.85 
    1160     8.85    28.46    19.95     6.36 
    1170    10.46    27.40    20.72     4.81 
    1180    12.30    25.86    21.76     3.35 
    1190    14.27    23.84    23.13     2.13 
    1200    15.77    21.35    25.03     1.28 
    1210    17.37    18.53    26.62     0.52 
    1220    19.21    15.42    27.89     0.10 
    1230    20.38    12.34    29.64     0.08 
    1240    21.23     9.39    31.19     0.43 
    1250    21.84     6.75    32.22     1.23 
    1260    21.92     4.46    33.60     2.15 
    1270    21.69     2.57    34.45     3.61 
    1280    21.09     1.20    34.98     5.29 
    1290    20.19     0.36    34.52     7.53 
    1300    18.89     0.15    33.80     9.88 
