# 915 nm PL_38 Chip Heater Calibration Heater 11
# Chip Num PL 38 Down Structure
# Heater No = 11
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 3
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2023-11-29 16:50:40
#Current  diode_1  diode_2  diode_3  diode_4 
       0     5.83    29.23     8.16    10.83 
      10     5.82    29.17     8.17    10.86 
      20     5.84    29.17     8.19    10.86 
      30     5.85    29.06     8.22    10.91 
      40     5.84    28.90     8.25    10.94 
      50     5.84    28.75     8.28    10.98 
      60     5.85    28.70     8.33    11.09 
      70     5.89    28.44     8.34    11.17 
      80     5.89    28.30     8.40    11.25 
      90     5.91    28.11     8.43    11.41 
     100     5.92    27.83     8.49    11.56 
     110     5.93    27.55     8.53    11.70 
     120     5.96    27.29     8.59    11.90 
     130     5.98    27.04     8.65    12.09 
     140     6.00    26.70     8.73    12.28 
     150     6.02    26.33     8.78    12.48 
     160     6.04    25.95     8.84    12.74 
     170     6.07    25.49     8.91    13.03 
     180     6.09    25.04     8.95    13.31 
     190     6.13    24.57     9.02    13.60 
     200     6.14    24.15     9.07    13.89 
     210     6.17    23.57     9.19    14.23 
     220     6.18    23.11     9.26    14.59 
     230     6.21    22.48     9.31    14.99 
     240     6.23    21.99     9.43    15.41 
     250     6.23    21.36     9.51    15.79 
     260     6.23    20.79     9.61    16.20 
     270     6.25    20.12     9.69    16.69 
     280     6.23    19.49     9.76    17.18 
     290     6.23    18.85     9.86    17.68 
     300     6.22    18.17     9.91    18.23 
     310     6.21    17.44     9.99    18.79 
     320     6.19    16.79    10.05    19.28 
     330     6.15    16.08    10.12    19.91 
     340     6.12    15.36    10.21    20.45 
     350     6.09    14.66    10.26    21.07 
     360     6.04    13.96    10.25    21.68 
     370     5.99    13.26    10.26    22.39 
     380     5.93    12.63    10.31    23.06 
     390     5.85    11.97    10.34    23.73 
     400     5.78    11.30    10.38    24.42 
     410     5.70    10.64    10.35    25.16 
     420     5.62    10.04    10.34    25.86 
     430     5.52     9.46    10.32    26.60 
     440     5.41     8.90    10.29    27.29 
     450     5.30     8.45    10.21    28.05 
     460     5.18     7.96    10.14    28.78 
     470     5.06     7.50    10.02    29.52 
     480     4.95     7.09     9.97    30.16 
     490     4.81     6.74     9.81    30.76 
     500     4.69     6.41     9.62    31.46 
     510     4.56     6.14     9.42    32.14 
     520     4.44     5.91     9.24    32.65 
     530     4.32     5.73     8.97    33.29 
     540     4.21     5.63     8.72    33.64 
     550     4.13     5.54     8.40    34.11 
     560     4.05     5.55     8.17    34.45 
     570     3.98     5.61     7.88    34.78 
     580     3.95     5.71     7.61    35.00 
     590     3.95     5.86     7.26    35.04 
     600     3.98     6.07     6.91    35.14 
     610     4.04     6.35     6.58    35.06 
     620     4.16     6.64     6.20    34.99 
     630     4.32     7.00     5.83    34.78 
     640     4.52     7.39     5.38    34.59 
     650     4.81     7.81     5.03    34.14 
     660     5.12     8.28     4.73    33.61 
     670     5.50     8.73     4.31    33.06 
     680     5.98     9.22     3.96    32.31 
     690     6.52     9.73     3.60    31.45 
     700     7.13    10.16     3.20    30.51 
     710     7.79    10.53     2.86    29.47 
     720     8.56    10.92     2.52    28.47 
     730     9.40    11.31     2.24    27.16 
     740    10.32    11.68     1.97    25.96 
     750    11.21    12.00     1.72    24.63 
     760    12.23    12.32     1.52    23.26 
     770    13.39    12.40     1.29    21.90 
     780    14.60    12.53     1.11    20.48 
     790    15.86    12.54     0.93    19.11 
     800    17.11    12.58     0.82    17.70 
     810    18.45    12.44     0.67    16.34 
     820    19.85    12.11     0.55    15.07 
     830    21.09    11.82     0.46    13.79 
     840    22.37    11.42     0.39    12.62 
     850    23.64    10.93     0.33    11.60 
     860    24.82    10.46     0.29    10.58 
     870    25.91     9.90     0.26     9.76 
     880    26.95     9.31     0.23     9.10 
     890    27.87     8.70     0.20     8.65 
     900    28.73     8.14     0.18     8.39 
     910    29.39     7.52     0.16     8.27 
     920    29.81     6.92     0.15     8.34 
     930    30.12     6.34     0.13     8.59 
     940    30.28     5.77     0.12     9.00 
     950    30.14     5.24     0.12     9.72 
     960    29.86     4.77     0.13    10.42 
     970    29.30     4.40     0.15    11.49 
     980    28.56     4.04     0.19    12.48 
     990    27.57     3.83     0.26    13.79 
    1000    26.63     3.59     0.38    15.06 
    1010    25.48     3.44     0.54    16.42 
    1020    24.33     3.31     0.76    17.88 
    1030    22.74     3.49     0.98    19.52 
    1040    21.35     3.49     1.33    20.91 
    1050    19.82     3.57     1.74    22.33 
    1060    18.38     3.64     2.22    23.56 
    1070    17.04     3.69     2.77    24.69 
    1080    15.63     3.82     3.43    25.62 
    1090    14.55     3.79     4.20    26.40 
    1100    13.70     3.63     5.07    26.79 
    1110    12.78     3.60     5.99    27.07 
    1120    12.18     3.42     7.02    27.18 
    1130    11.77     3.18     8.09    26.88 
    1140    11.59     2.86     9.19    26.19 
    1150    11.70     2.47    10.31    25.36 
    1160    12.00     2.08    11.30    24.14 
    1170    12.48     1.68    12.34    22.84 
    1180    13.07     1.36    13.36    21.34 
    1190    13.99     0.99    14.29    19.65 
    1200    14.82     0.82    15.10    18.02 
    1210    15.92     0.68    15.88    16.06 
    1220    16.91     0.80    16.39    14.25 
    1230    17.96     1.03    16.74    12.26 
    1240    18.94     1.48    16.86    10.30 
    1250    19.79     2.20    16.81     8.51 
    1260    20.39     3.29    16.59     6.95 
    1270    20.76     4.68    16.21     5.47 
    1280    21.01     6.27    15.77     4.15 
    1290    20.99     8.12    15.23     3.03 
    1300    20.81     9.92    14.70     2.11 
