# 915 nm PL_38 Chip Heater Calibration Heater 12
# Chip Num PL 38 Down Structure
# Heater No = 12
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 3
# Temp Room_ = 21.7
# Temp Chip_ = 19
# Date 2024-11-29 16:46:35
#Current  diode_1  diode_2  diode_3  diode_4 
       0     5.87    29.81     8.30    11.66 
      10     5.89    29.75     8.31    11.61 
      20     5.92    29.64     8.36    11.56 
      30     5.95    29.68     8.41    11.52 
      40     6.00    29.60     8.47    11.43 
      50     6.06    29.52     8.53    11.37 
      60     6.14    29.34     8.63    11.30 
      70     6.22    29.21     8.72    11.20 
      80     6.31    29.10     8.85    11.07 
      90     6.44    28.90     8.98    10.91 
     100     6.54    28.72     9.12    10.75 
     110     6.67    28.49     9.31    10.61 
     120     6.83    28.29     9.47    10.40 
     130     6.95    28.06     9.67    10.20 
     140     7.14    27.86     9.87     9.99 
     150     7.34    27.63    10.10     9.73 
     160     7.53    27.34    10.30     9.49 
     170     7.77    26.97    10.60     9.23 
     180     7.99    26.67    10.88     8.96 
     190     8.22    26.32    11.23     8.66 
     200     8.51    25.83    11.57     8.39 
     210     8.76    25.44    11.94     8.07 
     220     9.07    25.01    12.28     7.75 
     230     9.35    24.56    12.70     7.42 
     240     9.68    24.14    13.11     7.06 
     250     9.99    23.66    13.54     6.71 
     260    10.34    23.13    13.99     6.33 
     270    10.57    22.60    14.44     5.94 
     280    10.95    22.02    14.92     5.55 
     290    11.30    21.47    15.38     5.12 
     300    11.63    20.83    15.97     4.71 
     310    12.05    20.23    16.46     4.32 
     320    12.41    19.58    16.96     3.93 
     330    12.77    18.99    17.47     3.54 
     340    13.16    18.39    17.92     3.18 
     350    13.57    17.75    18.45     2.80 
     360    13.96    16.95    19.04     2.43 
     370    14.36    16.33    19.53     2.09 
     380    14.71    15.62    20.09     1.72 
     390    15.10    14.87    20.57     1.46 
     400    15.51    14.17    21.10     1.18 
     410    15.84    13.42    21.59     0.94 
     420    16.21    12.72    22.11     0.73 
     430    16.57    11.99    22.50     0.59 
     440    16.85    11.39    22.84     0.49 
     450    17.09    10.73    23.22     0.45 
     460    17.39    10.17    23.42     0.46 
     470    17.59     9.61    23.55     0.55 
     480    17.79     9.11    23.66     0.70 
     490    17.89     8.75    23.63     0.93 
     500    18.01     8.32    23.60     1.23 
     510    18.12     7.94    23.47     1.60 
     520    18.04     7.63    23.25     2.09 
     530    18.10     7.32    22.91     2.61 
     540    18.06     7.11    22.46     3.27 
     550    17.94     6.91    21.95     4.04 
     560    17.72     6.88    21.36     4.87 
     570    17.57     6.86    20.63     5.78 
     580    17.13     6.89    19.91     6.85 
     590    16.92     6.98    18.98     7.97 
     600    16.61     7.15    17.97     9.12 
     610    16.19     7.42    16.90    10.36 
     620    15.63     7.69    15.84    11.72 
     630    15.16     8.07    14.61    13.13 
     640    14.66     8.46    13.39    14.52 
     650    14.06     8.93    12.13    15.97 
     660    13.45     9.42    10.85    17.51 
     670    12.88     9.93     9.60    18.94 
     680    12.27    10.42     8.44    20.29 
     690    11.74    11.01     7.26    21.67 
     700    11.08    11.61     6.25    22.99 
     710    10.41    12.15     5.29    24.24 
     720     9.83    12.73     4.53    25.29 
     730     9.23    13.21     3.91    26.19 
     740     8.64    13.72     3.48    27.04 
     750     8.18    14.12     3.30    27.57 
     760     7.70    14.52     3.34    27.87 
     770     7.17    14.82     3.65    27.99 
     780     6.68    14.95     4.27    27.90 
     790     6.27    14.89     5.20    27.65 
     800     5.86    14.80     6.43    26.98 
     810     5.49    14.66     7.96    26.10 
     820     5.15    14.42     9.79    24.97 
     830     4.82    14.09    11.83    23.72 
     840     4.50    13.64    14.20    22.20 
     850     4.23    13.10    16.88    20.51 
     860     3.98    12.46    19.77    18.75 
     870     3.75    11.71    22.88    16.85 
     880     3.49    10.97    26.12    14.93 
     890     3.25    10.18    29.41    12.98 
     900     2.96     9.37    32.72    11.12 
     910     2.70     8.52    35.98     9.23 
     920     2.45     7.71    39.11     7.57 
     930     2.19     6.88    41.91     6.05 
     940     1.85     6.14    44.48     4.79 
     950     1.59     5.42    46.58     3.78 
     960     1.30     4.80    48.47     3.07 
     970     1.06     4.29    49.65     2.70 
     980     0.81     3.88    50.35     2.70 
     990     0.60     3.59    50.50     3.08 
    1000     0.43     3.32    50.10     3.71 
    1010     0.34     3.24    49.03     4.83 
    1020     0.33     3.27    47.17     6.36 
    1030     0.45     3.24    45.25     7.99 
    1040     0.64     3.52    42.09    10.26 
    1050     1.03     3.56    39.08    12.27 
    1060     1.56     3.72    35.63    14.71 
    1070     2.19     4.00    31.56    17.30 
    1080     2.99     4.36    27.16    20.04 
    1090     4.06     4.40    23.27    22.37 
    1100     5.24     4.56    19.23    24.72 
    1110     6.64     4.37    15.77    26.42 
    1120     8.15     4.34    12.20    28.09 
    1130     9.78     4.06     9.23    29.13 
    1140    11.39     3.83     6.73    29.84 
    1150    13.11     3.59     4.57    30.06 
    1160    14.79     3.36     3.11    29.74 
    1170    16.51     2.82     2.64    28.68 
    1180    18.06     2.50     2.64    27.24 
    1190    19.44     2.44     3.16    25.23 
    1200    20.55     2.31     4.43    22.84 
    1210    21.31     2.43     6.18    20.07 
    1220    21.82     2.66     8.33    17.08 
    1230    21.88     3.29    10.59    14.08 
    1240    21.61     4.02    13.17    11.20 
    1250    20.90     5.37    15.62     8.48 
    1260    19.86     7.09    17.98     6.01 
    1270    18.43     9.28    19.99     3.89 
    1280    16.75    11.58    21.62     2.30 
    1290    14.81    14.70    22.61     1.10 
    1300    12.62    18.23    22.85     0.45 
