current        diode_1        diode_2        diode_3        diode_4        
0.001          0.08208252     0.09993756     0.048281       0.1829415      
0.002          0.08177997     0.09940082     0.04819219     0.1843521      
0.003          0.08196497     0.09965032     0.04812186     0.1834439      
0.004          0.08336751     0.09958255     0.04775221     0.1834398      
0.005          0.08366498     0.09959719     0.04808643     0.1833799      
0.006          0.08398499     0.09932919     0.04792419     0.1843671      
0.007          0.08401997     0.0992776      0.04769933     0.1836018      
0.008          0.084225       0.09916363     0.04744931     0.183275       
0.009          0.08575502     0.0991898      0.04756225     0.1848314      
0.01           0.08727751     0.0985283      0.04701446     0.1849049      
0.011          0.08774999     0.09822412     0.04700111     0.1845699      
0.012          0.08848        0.09820255     0.0467131      0.1847047      
0.013          0.0906575      0.09772202     0.04650569     0.1852235      
0.014          0.091015       0.09717833     0.04612065     0.1860881      
0.015          0.09209999     0.09703972     0.04616891     0.1853923      
0.016          0.09441252     0.09631661     0.04579105     0.1852344      
0.017          0.0949775      0.09647986     0.04522735     0.1867499      
0.018          0.09703249     0.09525388     0.04498913     0.1857096      
0.019          0.09923249     0.09475332     0.04433969     0.1865198      
0.02           0.10156        0.09415958     0.04408043     0.1856361      
0.021          0.104125       0.09344726     0.04347359     0.186272       
0.022          0.1054925      0.09288278     0.04318917     0.1857546      
0.023          0.1085         0.09237067     0.0423503      0.1867703      
0.024          0.1106475      0.09153512     0.04203198     0.1869418      
0.025          0.1136125      0.09052169     0.04164489     0.1867853      
0.026          0.11645        0.08949284     0.04073977     0.1866709      
0.027          0.11956        0.08857105     0.04033009     0.1865021      
0.028          0.1227675      0.0871279      0.03960158     0.1854604      
0.029          0.127425       0.08655649     0.03919805     0.1859207      
0.03           0.1317725      0.08456658     0.03851063     0.184717       
0.031          0.1362725      0.08318658     0.03792381     0.1844338      
0.032          0.1400375      0.08172341     0.03720301     0.1842785      
0.033          0.146575       0.08038577     0.03622499     0.1831566      
0.034          0.150495       0.07901347     0.035554       0.182759       
0.035          0.1559775      0.0771075      0.03435882     0.1804742      
0.036          0.1610425      0.07551418     0.03378022     0.1792215      
0.037          0.16803        0.07368138     0.0330702      0.1787137      
0.038          0.174865       0.07195944     0.0320809      0.1767666      
0.039          0.1814775      0.0706503      0.03124252     0.1746724      
0.04           0.1881625      0.06833232     0.03062645     0.1722964      
0.041          0.19355        0.06628544     0.0297963      0.1713936      
0.042          0.2022375      0.06379343     0.02889529     0.1690122      
0.043          0.2101375      0.06137842     0.02789109     0.1661406      
0.044          0.21785        0.05913362     0.02746703     0.1641186      
0.045          0.2273925      0.05695657     0.02648594     0.1607908      
0.046          0.234765       0.05452001     0.02600745     0.1564963      
0.047          0.24559        0.05182778     0.02532926     0.1512228      
0.048          0.255625       0.04961069     0.02476658     0.149224       
0.049          0.2655575      0.04741902     0.0244185      0.145692       
0.05           0.2764675      0.04490852     0.02378138     0.1409944      
0.051          0.285875       0.04289628     0.02361248     0.1363568      
0.052          0.296575       0.04084245     0.02355087     0.1310697      
0.053          0.30541        0.03865154     0.02334706     0.1260862      
0.054          0.31722        0.03592389     0.02336554     0.1211912      
0.055          0.32556        0.03422816     0.0237896      0.113893       
0.056          0.336075       0.03237841     0.02433431     0.1070931      
0.057          0.34678        0.03059487     0.02476556     0.099863       
0.058          0.356615       0.02925646     0.02549816     0.09330142     
0.059          0.36398        0.02826689     0.02695929     0.0874574      
0.06           0.372485       0.02729736     0.02862217     0.07903995     
0.061          0.37906        0.02709481     0.03021779     0.07178528     
0.062          0.384985       0.02712563     0.03212659     0.06345905     
0.063          0.3885025      0.02766622     0.03442197     0.05722834     
0.064          0.3910775      0.02905932     0.03708186     0.04924525     
0.065          0.3918125      0.03089599     0.03971659     0.04343528     
0.066          0.388485       0.03338261     0.04297714     0.0379371      
0.067          0.3842725      0.03648837     0.04631164     0.03229595     
0.068          0.3746725      0.04012396     0.04985147     0.02835684     
0.069          0.36748        0.04448805     0.05387596     0.0250168      
0.07           0.35418        0.04957373     0.05760627     0.02261767     
0.071          0.336225       0.055957       0.06205534     0.02254684     
0.072          0.3199725      0.06273532     0.06578257     0.02414945     
0.073          0.298725       0.07037538     0.06977779     0.02700068     
0.074          0.27292        0.07923526     0.07354148     0.03237222     
0.075          0.2450175      0.08681216     0.0769083      0.03904953     
0.076          0.21805        0.09536169     0.07949067     0.04829349     
0.077          0.1849625      0.1040337      0.08124442     0.05871387     
0.078          0.157485       0.1110931      0.0816115      0.07592458     
0.079          0.1295275      0.1171629      0.08175473     0.09034126     
0.08           0.1044675      0.1218281      0.08016013     0.1065526      
0.081          0.07894498     0.1252697      0.07693449     0.1241418      
0.082          0.063          0.1255438      0.07306504     0.1410993      
0.083          0.05267752     0.1229401      0.06701471     0.1574209      
0.084          0.052605       0.1170559      0.05928353     0.1711921      
0.085          0.06205247     0.1087705      0.05212119     0.1792883      
